,State,Zip Code,Date,Fuel,Latitude,Longitude
135,NC,28451,10/1/2020,BEV,34.201645,-78.04511
136,NC,28451,5/1/2020,BEV,34.201645,-78.04511
137,NC,28451,9/1/2023,BEV,34.201645,-78.04511
138,NC,28451,2/1/2023,BEV,34.201645,-78.04511
139,NC,28451,1/1/2023,BEV,34.201645,-78.04511
140,NC,28451,2/1/2023,BEV,34.201645,-78.04511
141,NC,28451,8/1/2023,BEV,34.201645,-78.04511
142,NC,28451,7/1/2022,BEV,34.201645,-78.04511
143,NC,28451,1/1/2023,BEV,34.201645,-78.04511
144,NC,28451,9/1/2022,BEV,34.201645,-78.04511
145,NC,28451,12/1/2022,BEV,34.201645,-78.04511
146,NC,28451,3/1/2023,BEV,34.201645,-78.04511
147,NC,28451,9/1/2022,BEV,34.201645,-78.04511
148,NC,28451,7/1/2023,BEV,34.201645,-78.04511
149,NC,28451,6/1/2023,BEV,34.201645,-78.04511
150,NC,28451,6/1/2023,BEV,34.201645,-78.04511
151,NC,28451,8/1/2023,BEV,34.201645,-78.04511
152,NC,28451,5/1/2023,BEV,34.201645,-78.04511
153,NC,28451,8/1/2023,BEV,34.201645,-78.04511
154,NC,28451,8/1/2023,BEV,34.201645,-78.04511
155,NC,28451,2/1/2023,BEV,34.201645,-78.04511
156,NC,28451,4/1/2021,BEV,34.201645,-78.04511
157,NC,28451,8/1/2023,BEV,34.201645,-78.04511
158,NC,28451,7/1/2023,BEV,34.201645,-78.04511
159,NC,28451,1/1/2021,BEV,34.201645,-78.04511
160,NC,28451,5/1/2023,BEV,34.201645,-78.04511
161,NC,28451,5/1/2021,BEV,34.201645,-78.04511
162,NC,28451,11/1/2022,BEV,34.201645,-78.04511
163,NC,28451,11/1/2022,BEV,34.201645,-78.04511
164,NC,28451,8/1/2023,BEV,34.201645,-78.04511
165,NC,28451,11/1/2020,BEV,34.201645,-78.04511
166,NC,28451,11/1/2022,BEV,34.201645,-78.04511
167,NC,28451,5/1/2022,BEV,34.201645,-78.04511
168,NC,28451,7/1/2022,BEV,34.201645,-78.04511
169,NC,28451,6/1/2023,BEV,34.201645,-78.04511
170,NC,28451,9/1/2022,BEV,34.201645,-78.04511
171,NC,28451,9/1/2022,BEV,34.201645,-78.04511
172,NC,28451,8/1/2022,BEV,34.201645,-78.04511
173,NC,28451,1/1/2023,BEV,34.201645,-78.04511
174,NC,28451,8/1/2023,BEV,34.201645,-78.04511
175,NC,28451,3/1/2023,BEV,34.201645,-78.04511
176,NC,28451,1/1/2023,BEV,34.201645,-78.04511
177,NC,28451,6/1/2023,BEV,34.201645,-78.04511
178,NC,28451,5/1/2023,BEV,34.201645,-78.04511
179,NC,28451,7/1/2023,BEV,34.201645,-78.04511
180,NC,28451,4/1/2023,BEV,34.201645,-78.04511
181,NC,28451,11/1/2022,BEV,34.201645,-78.04511
