latitude,longitude,street_address,state,city,Zip Code,country,id,open_date,fuel_type_code
35.130823,-85.238173,271 Northgate Mall Dr,TN,Chattanooga,37343,US,77361,2016-08-06,ELEC
35.035854,-85.305218,55 Johnson Street,TN,Chattanooga,37408,US,77363,2016-08-06,ELEC
35.043855,-85.260525,2525 Desales Ave.,TN,Chattanooga,37406,US,77364,2016-08-06,ELEC
35.043794,-85.280574,301 North Holtzclaw,TN,Chattanooga,37404,US,77365,2016-08-06,ELEC
35.035694,-85.15777,2120 Hamilton Pl Blvd,TN,Chattanooga,37421,US,77366,2016-08-06,ELEC
35.005733,-85.311911,200 West 38th Street,TN,Chattanooga,37410,US,77367,2016-08-06,ELEC
36.470898,-84.651393,4564 Leatherwood Rd,TN,Oneida,37841,US,77668,2016-08-15,ELEC
35.95953,-83.924911,1101 Cumberland Ave,TN,Knoxville,37916,US,78292,2015-10-01,ELEC
35.951858,-83.9316,1350 Pat Head Summitt St,TN,Knoxville,37916,US,78293,2015-10-01,ELEC
35.946202,-83.93878,2402 Chapman Dr,TN,Knoxville,37916,US,78294,2015-10-01,ELEC
35.038042,-85.195795,1001 Airport Rd,TN,Chattanooga,37421,US,78354,2016-09-08,ELEC
35.050309,-85.050405,Hickman Drive,TN,Collegedale,37363,US,78399,2016-09-10,ELEC
36.041618,-86.770424,320 Seven Springs Way,TN,Brentwood,37027,US,78943,2016-10-12,ELEC
36.110741,-86.672007,1 Terminal Drive,TN,Nashville,37217,US,79332,2016-10-29,ELEC
36.026078,-86.789115,300 Centerview Dr,TN,Brentwood,37027,US,79958,2016-11-23,ELEC
36.162131,-86.777114,333 Commerce St,TN,Nashville,37201,US,80223,2014-06-01,ELEC
35.021658,-85.321318,3001-3099 St Elmo Ave,TN,Chattanooga,37408,US,80496,2017-01-05,ELEC
35.048058,-85.300749,548 Vine St,TN,Chattanooga,37403,US,80499,2017-01-05,ELEC
35.043428,-85.301786,527 E M L King Blvd,TN,Chattanooga,37403,US,80500,2017-01-05,ELEC
