latitude,longitude,street_address,state,city,zip,country,id,open_date,fuel_type_code
43.984518,-72.123057,586 Lower Pln,VT,Bradford,05033,US,228140,2018-03-07,ELEC
43.608307,-72.979543,117 West St,VT,Rutland,05701,US,228377,2018-03-07,ELEC
44.012706,-73.171447,12 Mill St,VT,Middlebury,05753,US,228566,2018-03-07,ELEC
44.260688,-72.584852,1 Bailey Ave,VT,Montpelier,05602,US,228582,2018-03-07,ELEC
43.401829,-72.717064,1524 Okemo Ridge Rd,VT,Ludlow,05149,US,250870,2018-03-12,ELEC
43.6173894,-72.8028887,4763 Killington Rd,VT,Killington,05751,US,150736,2018-03-12,ELEC
44.0739789,-72.7460056,47 Carrie Howe Rd,VT,Roxbury,05669,US,116059,2018-03-13,ELEC
43.2163145,-72.9253243,3574 VT-11,VT,Peru,05152,US,116057,2018-04-06,ELEC
44.938208,-72.504311,830 Jay Peak Rd,VT,Jay,05859,US,116045,2018-04-11,ELEC
42.9832298,-72.6556763,550 Route 30,VT,Newfane,05345,US,122577,2018-04-13,ELEC
44.261773,-72.581828,Governor Aiken Ave,VT,Montpelier,05602,US,98490,2018-05-23,ELEC
44.529707,-72.7810494,7412 Mountain Rd,VT,Stowe,05672,US,250871,2018-05-29,ELEC
44.494961,-72.738686,4000 Mountain Resort,VT,Stowe,05672,US,169210,2018-05-29,ELEC
43.5353614,-72.4761774,122 Best Road,VT,Windsor,05089,US,168774,2018-06-13,ELEC
43.5967449,-72.6007491,4548 W Woodstock Rd,VT,Woodstock,05091,US,116071,2018-07-05,ELEC
43.735441,-72.9400068,195 Mountain Top Rd,VT,Chittenden,05737,US,116040,2018-07-31,ELEC
44.8790152738439,-72.6110029220581,195 Main St,VT,Montgomery Center,05471,US,103627,2018-09-15,ELEC
44.493852,-73.104994,81 Main St,VT,Essex,05452,US,104201,2018-10-17,ELEC
44.352098,-73.029277,427 Ski Lodge Dr,VT,Huntington,05462,US,104584,2018-11-01,ELEC
43.643543,-72.330085,303 Sykes Mountain Ave,VT,White River Junction,05001,US,129336,2018-11-01,ELEC
43.424358,-72.716903,111 Jackson Gore Rd,VT,Ludlow,05149,US,118966,2018-11-01,ELEC
44.473181,-73.202918,BE11 95 Summit St,VT,Burlington,05401,US,104719,2018-11-15,ELEC
43.1656169,-73.0706255,3835 Main St,VT,Manchester,05254,US,122576,2018-11-21,ELEC
44.247089,-72.550282,265 River St,VT,Montpelier,05602,US,105402,2018-12-01,ELEC
43.233306,-73.081222,1567 Route 30,VT,Dorset,05251,US,105394,2018-12-01,ELEC
43.576339,-72.965088,65 Windcrest Rd,VT,Rutland,05701,US,105396,2018-12-01,ELEC
44.248074,-72.54981,364 River St,VT,Montpelier,05602,US,105403,2018-12-01,ELEC
43.909926,-72.152659,1 Clubhouse Rd,VT,Fairlee,05045,US,105399,2018-12-01,ELEC
44.232425,-72.554413,2287 Berlin State Hwy,VT,Barre,05641,US,105404,2018-12-01,ELEC
44.147621,-73.34156,3176 Jersey St,VT,Panton,05491,US,105401,2018-12-01,ELEC
42.86338,-72.854667,178 VT-9,VT,Wilmington,05363,US,105407,2018-12-01,ELEC
42.848632,-72.58356,72 Blanche Moyse Way,VT,Brattleboro,05301,US,105409,2018-12-01,ELEC
44.322348,-72.741639,442 US-2,VT,Waterbury,05676,US,105405,2018-12-01,ELEC
43.173793,-73.06195,4519 Main St,VT,Manchester Center,05255,US,105412,2018-12-01,ELEC
43.161991,-73.072563,3567 Main St,VT,Manchester Center,05255,US,105410,2018-12-01,ELEC
42.876202,-72.561096,800 Putney Rd,VT,Brattleboro,05301,US,117870,2019-02-01,ELEC
44.469944,-73.15616,Airport Cir,VT,South Burlington,05403,US,121082,2019-02-11,ELEC
43.236431,-73.097762,1847 Dorset W Rd,VT,Dorset,05251,US,121587,2019-04-01,ELEC
43.941742,-72.60392,163 Admin Drive,VT,Randolph Center,05061,US,121701,2019-04-26,ELEC
43.572515,-72.9659823,78 Route 7B,VT,Clarendon,05759,US,149481,2019-05-01,ELEC
43.572515,-72.9659823,78 Route 7B,VT,Clarendon,05759,US,149494,2019-05-01,ELEC
43.642992,-72.327338,32 Key Auto Dr,VT,White River Junction,05001,US,129335,2019-06-01,ELEC
44.423919,-73.212364,1775 Shelburne Rd,VT,South Burlington,05403,US,124562,2019-08-01,ELEC
44.108931,-72.818968,42 Roxbury Mountain Rd,VT,Warren,05674,US,143549,2019-08-15,ELEC
44.113347,-72.855062,42 Cemetery Rd,VT,Warren,05674,US,143550,2019-08-15,ELEC
44.938815,-73.048068,Highgate Park & Ride,VT,Highgate,05459,US,143547,2019-08-15,ELEC
44.454638,-73.145771,43 Comcast Way,VT,South Burlington,05403,US,143129,2019-08-15,ELEC
44.48456568432195,-73.22175695776366,12-22 North St,VT,Burlington,05401,US,145074,2019-08-30,ELEC
44.475865,-73.212264,175 Main St,VT,Burlington,05401,US,145026,2019-09-07,ELEC
44.225193,-73.057541,2827 VT-116,VT,Starksboro,05487,US,145191,2019-09-13,ELEC
44.250664,-72.565471,116 Gin Ln,VT,Montpelier,05602,US,145340,2019-09-18,ELEC
44.352703,-72.740531,1281 Waterbury Stowe Rd,VT,Waterbury,05676,US,145492,2019-09-24,ELEC
44.495788,-72.738731,4000 Mountain Rd,VT,Stowe,05672,US,150492,2019-09-30,ELEC
44.475958,-73.214302,122 Main St,VT,Burlington,05401,US,145738,2019-10-02,ELEC
43.984933,-73.127754,121 Cady Rd,VT,Middlebury,05753,US,146632,2019-10-05,ELEC
44.379947,-73.228805,5302 Shelburne Rd,VT,Shelburne,05482,US,146772,2019-10-10,ELEC
43.264201,-72.601759,93 Cobleigh St,VT,Chester,05143,US,146990,2019-10-16,ELEC
44.4774,-73.20108,109 S Prospect St,VT,Burlington,05401,US,147049,2019-10-18,ELEC
44.731202,-72.379063,827 Main St,VT,Albany,05820,US,153546,2019-11-08,ELEC
44.506925,-73.083125,21 Essex Way,VT,Essex Junction,05452,US,228581,2019-11-11,ELEC
44.126155,-73.153236,New Haven Park & Ride,VT,New Haven,05472,US,149507,2019-11-26,ELEC
43.725191,-72.31535,Norwich Park and Ride EB,VT,Norwich,05055,US,149520,2019-11-26,ELEC
43.264206,-72.60177,108 Cobleigh St,VT,Chester,05143,US,149729,2019-12-05,ELEC
44.177628,-72.901288,743 Mount Ellen Rd,VT,Fayston,05673,US,150332,2019-12-15,ELEC
44.177471,-72.901588,626 Mount Ellen Rd,VT,Fayston,05673,US,150333,2019-12-15,ELEC
43.055454,-73.15505,608 Warm Brook Rd,VT,Arlington,05250,US,150352,2019-12-19,ELEC
43.250278,-73.093902,2963 VT Rt 30,VT,Dorset,05251,US,183869,2020-02-01,ELEC
43.821682,-72.520904,164 Chelsea St,VT,Royalton,05068,US,151973,2020-02-01,ELEC
