State,zip,Registration Date,Vehicle Make,Vehicle Model,Vehicle Model Year,Drivetrain Type,Vehicle GVWR Class,Vehicle Category,Vehicle Count,DMV Snapshot ID,DMV Snapshot (Date),Latest DMV Snapshot Flag
VT,05001,6/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),False
VT,05451,1/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,9,DMV Snapshot (1/10/2023),False
VT,05471,10/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
VT,05401,1/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,9,DMV Snapshot (1/10/2023),False
VT,05773,1/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,9,DMV Snapshot (1/10/2023),False
VT,05448,10/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
VT,05471,3/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,10,DMV Snapshot (3/23/2023),False
VT,05048,10/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
VT,05033,10/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
VT,05036,10/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
VT,05743,10/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
VT,05743,6/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),False
VT,05478,10/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
VT,05746,6/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),False
VT,05468,1/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,9,DMV Snapshot (1/10/2023),False
VT,05491,6/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),False
VT,05477,10/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
VT,05255,6/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,11,DMV Snapshot (6/24/2023),False
VT,05819,1/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,9,DMV Snapshot (1/10/2023),False
VT,05760,10/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
VT,05761,10/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,12,DMV Snapshot (10/2/2023),True
VT,05443,3/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,10,DMV Snapshot (3/23/2023),False
VT,05445,1/1/2023,CHEVROLET,BOLT EV,2023,BEV,1,Light-Duty (Class 1-2A),1,9,DMV Snapshot (1/10/2023),False
